,b,h,d,d',L,l,a,fck,As,fy,As',fy',carbon,PBO,glass,CFRP,basalt,ff,Af,layer,mesh(long),mesh(lat),type
27,0.17293233082706766,0.4520547945205479,0.42617257104889616,0.8,0.5930232558139534,0.5859872611464967,0.5767195767195767,0.26910299003322263,0.06423059464366769,0.7297297297297298,0.3401905586834127,0.8556149732620323,0.0,0.0,0.0,1.0,0.0,0.7413793103448276,0.02109375,0.2,0.68,1.0,0.0
28,0.12280701754385964,0.3150684931506849,0.29630636344417266,0.64,0.5930232558139534,0.5859872611464967,0.5767195767195767,0.10365448504983388,0.06411711302768948,0.8537837837837837,0.2176916414032048,0.9547237076648843,0.0,1.0,0.0,0.0,0.0,1.0,0.0791015625,0.30000000000000004,0.4,0.6060606060606061,0.0
29,0.12280701754385964,0.3150684931506849,0.2721452085409682,0.8200000000000001,0.4186046511627907,0.42675159235668786,0.5238095238095238,0.3355481727574751,0.24251021334543799,0.7837837837837837,0.21762667821567774,0.8912655971479503,0.0,1.0,0.0,0.0,0.0,1.0,0.024609374999999996,0.2,0.8,0.4545454545454546,1.0
30,0.17293233082706766,0.4520547945205479,0.42617257104889616,0.8,0.5930232558139534,0.5859872611464967,0.5767195767195767,0.26910299003322263,0.06423059464366769,0.7297297297297298,0.3401905586834127,0.8556149732620323,0.0,0.0,0.0,1.0,0.0,0.7413793103448276,0.010546874999999997,0.1,0.68,1.0,0.0
31,0.7493734335839599,0.3150684931506849,0.24496390927486328,1.0,0.4186046511627907,0.42675159235668786,0.417989417989418,0.6677740863787376,0.41000907852927837,0.8463513513513513,1.0,0.9325311942959003,1.0,0.0,0.0,0.0,0.0,0.5260344827586207,0.12484375,0.2,0.4,0.30303030303030304,0.0
32,0.12280701754385964,0.3150684931506849,0.2721452085409682,0.8200000000000001,0.4186046511627907,0.42675159235668786,0.5238095238095238,1.0,0.06423059464366769,0.7837837837837837,0.21762667821567774,0.8912655971479503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,0.24812030075187969,0.4520547945205479,0.38842076651263935,0.0,0.8837209302325582,0.9363057324840764,0.9735449735449735,0.04983388704318936,1.0,0.6702702702702703,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5172413793103449,0.0359375,0.1,0.8,0.6060606060606061,1.0
34,0.12280701754385964,0.3150684931506849,0.2721452085409682,0.8200000000000001,0.4186046511627907,0.42675159235668786,0.5238095238095238,0.3355481727574751,0.06423059464366769,0.7837837837837837,0.21762667821567774,0.8912655971479503,0.0,1.0,0.0,0.0,0.0,1.0,0.024609374999999996,0.2,0.8,0.4545454545454546,1.0
35,0.24812030075187969,1.0,1.0,1.0,1.0,1.0,1.0,0.9368770764119603,0.06411711302768948,0.8302702702702703,0.3399740147249891,0.9219251336898399,0.0,0.0,0.0,0.0,1.0,0.5310344827586208,0.04140624999999999,0.1,0.6,0.4545454545454546,1.0
36,0.12280701754385964,0.3150684931506849,0.2721452085409682,0.8200000000000001,0.4186046511627907,0.42675159235668786,0.5238095238095238,0.3355481727574751,0.06423059464366769,0.7837837837837837,0.21762667821567774,0.8912655971479503,1.0,0.0,0.0,0.0,0.0,0.8275862068965518,0.029296875,0.30000000000000004,0.4,0.30303030303030304,1.0
37,0.12280701754385964,0.3150684931506849,0.29630636344417266,0.64,0.5930232558139534,0.5859872611464967,0.5767195767195767,0.08272425249169435,0.06411711302768948,0.8537837837837837,0.2176916414032048,0.9547237076648843,0.0,1.0,0.0,0.0,0.0,1.0,0.052734375,0.2,0.4,0.6060606060606061,0.0
38,0.24812030075187969,0.4520547945205479,0.4035214883271421,0.0,0.8837209302325582,0.9363057324840764,0.9735449735449735,0.04983388704318936,0.2869950068088969,0.6216216216216217,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.48275862068965525,0.3796875,0.30000000000000004,0.6,0.9090909090909092,1.0
39,0.047619047619047616,0.0,0.0,0.0,0.15697674418604657,0.14012738853503184,0.10052910052910058,0.740531561461794,0.047775760326827024,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.308448275862069,0.0691796875,0.6000000000000001,0.32,0.24242424242424246,0.0
40,0.12280701754385964,0.3150684931506849,0.2932862190812721,0.66,0.5930232558139534,0.5859872611464967,0.5767195767195767,0.09534883720930232,0.2709940989559691,0.8255135135135135,0.3399740147249891,0.9302852049910875,0.0,1.0,0.0,0.0,0.0,1.0,0.0263671875,0.1,0.4,0.6363636363636364,0.0
41,0.047619047619047616,0.0,0.0,0.0,0.15697674418604657,0.14012738853503184,0.10052910052910058,0.740531561461794,0.047775760326827024,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.8448275862068966,0.0649609375,0.6000000000000001,0.4,0.30303030303030304,0.0
42,0.12280701754385964,0.3150684931506849,0.2932862190812721,0.66,0.5930232558139534,0.5859872611464967,0.5767195767195767,0.09534883720930232,0.2709940989559691,0.8255135135135135,0.3399740147249891,0.9302852049910875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,0.047619047619047616,0.0410958904109589,0.03355380387182506,0.0,0.0,0.0,0.0,0.3355481727574751,0.06423059464366769,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.7520689655172415,0.01890625,0.1,0.4,0.30303030303030304,0.0
44,0.12280701754385964,0.1780821917808219,0.13623871221044365,0.72,0.3604651162790698,0.3630573248407643,0.47089947089947093,0.0033222591362126463,0.06423059464366769,0.43783783783783775,0.3401905586834127,0.663101604278075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,0.0,0.18356164383561652,0.16946030020234965,0.58,0.2078488372093023,0.20382165605095537,0.23809523809523814,0.0,0.0,0.9702702702702702,0.48982243395409264,1.0,1.0,0.0,0.0,0.0,0.0,0.2617241379310345,0.0378515625,0.1,0.4,0.30303030303030304,0.0
